Longitude,Latitude,Pixel,Scan
336.486234,-2.57604793,0,0
336.487097,-2.57607357,100,0
336.487961,-2.5760992,200,0
336.488824,-2.57612483,300,0
336.489687,-2.57615045,400,0
336.490551,-2.57617607,500,0
336.491414,-2.57620168,600,0
336.492277,-2.57622728,700,0
336.49314,-2.57625288,800,0
336.494003,-2.57627847,900,0
336.494866,-2.57630406,1000,0
336.495729,-2.57632964,1100,0
336.496592,-2.57635521,1200,0
336.497455,-2.57638078,1300,0
336.498317,-2.57640635,1400,0
336.49918,-2.5764319,1500,0
336.500043,-2.57645746,1600,0
336.500905,-2.576483,1700,0
336.501768,-2.57650854,1800,0
336.50263,-2.57653408,1900,0
336.503493,-2.57655961,2000,0
336.504355,-2.57658513,2100,0
336.505217,-2.57661065,2200,0
336.50608,-2.57663616,2300,0
336.506942,-2.57666166,2400,0
336.507804,-2.57668716,2500,0
336.508666,-2.57671266,2600,0
336.509528,-2.57673815,2700,0
336.51039,-2.57676363,2800,0
336.511252,-2.57678911,2900,0
336.512114,-2.57681458,3000,0
336.512976,-2.57684004,3100,0
336.513837,-2.5768655,3200,0
336.514699,-2.57689096,3300,0
336.515561,-2.57691641,3400,0
336.516422,-2.57694185,3500,0
336.517284,-2.57696728,3600,0
336.518145,-2.57699272,3700,0
336.519007,-2.57701814,3800,0
336.519868,-2.57704356,3900,0
336.52073,-2.57706897,4000,0
336.521591,-2.57709438,4100,0
336.522452,-2.57711978,4200,0
336.523313,-2.57714518,4300,0
336.524174,-2.57717057,4400,0
336.525036,-2.57719596,4500,0
336.525897,-2.57722133,4600,0
336.526758,-2.57724671,4700,0
336.527618,-2.57727208,4800,0
336.528479,-2.57729744,4900,0
336.52934,-2.57732279,5000,0
336.530201,-2.57734814,5100,0
336.531062,-2.57737349,5200,0
336.531922,-2.57739883,5300,0
336.532783,-2.57742416,5400,0
336.533643,-2.57744949,5500,0
336.534504,-2.57747481,5600,0
336.535364,-2.57750013,5700,0
336.536225,-2.57752544,5800,0
336.537085,-2.57755074,5900,0
336.537945,-2.57757604,6000,0
336.538805,-2.57760133,6100,0
336.539666,-2.57762662,6200,0
336.540526,-2.5776519,6300,0
336.541386,-2.57767718,6400,0
336.542246,-2.57770245,6500,0
336.543106,-2.57772771,6600,0
336.543966,-2.57775297,6700,0
336.544825,-2.57777823,6800,0
336.545685,-2.57780347,6900,0
336.546545,-2.57782871,7000,0
336.547405,-2.57785395,7100,0
336.548264,-2.57787918,7200,0
336.549124,-2.57790441,7300,0
336.549983,-2.57792962,7400,0
336.550843,-2.57795484,7500,0
336.551702,-2.57798004,7600,0
336.552561,-2.57800525,7700,0
336.553421,-2.57803044,7800,0
336.55428,-2.57805563,7900,0
336.555139,-2.57808082,8000,0
336.555998,-2.578106,8100,0
336.556857,-2.57813117,8200,0
336.557716,-2.57815634,8300,0
336.558575,-2.5781815,8400,0
336.559434,-2.57820666,8500,0
336.560293,-2.57823181,8600,0
336.561152,-2.57825695,8700,0
336.562011,-2.57828209,8800,0
336.56287,-2.57830722,8900,0
336.563728,-2.57833235,9000,0
336.564587,-2.57835747,9100,0
336.565445,-2.57838259,9200,0
336.566304,-2.5784077,9300,0
336.567162,-2.5784328,9400,0
336.568021,-2.5784579,9500,0
336.568879,-2.578483,9600,0
336.569737,-2.57850808,9700,0
336.570596,-2.57853317,9800,0
336.571454,-2.57855824,9900,0
336.572312,-2.57858331,10000,0
336.57317,-2.57860838,10100,0
336.574028,-2.57863344,10200,0
336.574886,-2.57865849,10300,0
336.575744,-2.57868354,10400,0
336.576602,-2.57870858,10500,0
336.57746,-2.57873362,10600,0
336.578317,-2.57875865,10700,0
336.579175,-2.57878368,10800,0
336.580033,-2.5788087,10900,0
336.58089,-2.57883371,11000,0
336.581748,-2.57885872,11100,0
336.582605,-2.57888372,11200,0
336.583463,-2.57890872,11300,0
336.58432,-2.57893371,11400,0
336.585178,-2.5789587,11500,0
336.586035,-2.57898368,11600,0
336.586892,-2.57900865,11700,0
336.587749,-2.57903362,11800,0
336.588606,-2.57905858,11900,0
336.589455,-2.57908329,11999,0
336.486232,-2.57694155,0,100
336.487096,-2.57696718,100,100
336.487959,-2.57699282,200,100
336.488822,-2.57701844,300,100
336.489686,-2.57704407,400,100
336.490549,-2.57706968,500,100
336.491412,-2.57709529,600,100
336.492275,-2.57712089,700,100
336.493138,-2.57714649,800,100
336.494001,-2.57717209,900,100
336.494864,-2.57719767,1000,100
336.495727,-2.57722325,1100,100
336.49659,-2.57724883,1200,100
336.497453,-2.5772744,1300,100
336.498315,-2.57729996,1400,100
336.499178,-2.57732552,1500,100
336.500041,-2.57735107,1600,100
336.500903,-2.57737662,1700,100
336.501766,-2.57740216,1800,100
336.502628,-2.57742769,1900,100
336.503491,-2.57745322,2000,100
336.504353,-2.57747874,2100,100
336.505215,-2.57750426,2200,100
336.506078,-2.57752977,2300,100
336.50694,-2.57755528,2400,100
336.507802,-2.57758078,2500,100
336.508664,-2.57760627,2600,100
336.509526,-2.57763176,2700,100
336.510388,-2.57765724,2800,100
336.51125,-2.57768272,2900,100
336.512112,-2.57770819,3000,100
336.512974,-2.57773365,3100,100
336.513836,-2.57775911,3200,100
336.514697,-2.57778457,3300,100
336.515559,-2.57781002,3400,100
336.516421,-2.57783546,3500,100
336.517282,-2.57786089,3600,100
336.518144,-2.57788633,3700,100
336.519005,-2.57791175,3800,100
336.519867,-2.57793717,3900,100
336.520728,-2.57796258,4000,100
336.521589,-2.57798799,4100,100
336.52245,-2.57801339,4200,100
336.523312,-2.57803879,4300,100
336.524173,-2.57806418,4400,100
336.525034,-2.57808956,4500,100
336.525895,-2.57811494,4600,100
336.526756,-2.57814032,4700,100
336.527617,-2.57816568,4800,100
336.528477,-2.57819105,4900,100
336.529338,-2.5782164,5000,100
336.530199,-2.57824175,5100,100
336.53106,-2.5782671,5200,100
336.53192,-2.57829244,5300,100
336.532781,-2.57831777,5400,100
336.533641,-2.5783431,5500,100
336.534502,-2.57836842,5600,100
336.535362,-2.57839373,5700,100
336.536223,-2.57841904,5800,100
336.537083,-2.57844435,5900,100
336.537943,-2.57846965,6000,100
336.538804,-2.57849494,6100,100
336.539664,-2.57852023,6200,100
336.540524,-2.57854551,6300,100
336.541384,-2.57857079,6400,100
336.542244,-2.57859606,6500,100
336.543104,-2.57862132,6600,100
336.543964,-2.57864658,6700,100
336.544824,-2.57867183,6800,100
336.545683,-2.57869708,6900,100
336.546543,-2.57872232,7000,100
336.547403,-2.57874756,7100,100
336.548262,-2.57877279,7200,100
336.549122,-2.57879801,7300,100
336.549981,-2.57882323,7400,100
336.550841,-2.57884844,7500,100
336.5517,-2.57887365,7600,100
336.55256,-2.57889885,7700,100
336.553419,-2.57892405,7800,100
336.554278,-2.57894924,7900,100
336.555137,-2.57897442,8000,100
336.555997,-2.5789996,8100,100
336.556856,-2.57902477,8200,100
336.557715,-2.57904994,8300,100
336.558574,-2.5790751,8400,100
336.559433,-2.57910026,8500,100
336.560291,-2.57912541,8600,100
336.56115,-2.57915055,8700,100
336.562009,-2.57917569,8800,100
336.562868,-2.57920082,8900,100
336.563726,-2.57922595,9000,100
336.564585,-2.57925107,9100,100
336.565444,-2.57927619,9200,100
336.566302,-2.5793013,9300,100
336.567161,-2.57932641,9400,100
336.568019,-2.5793515,9500,100
336.568877,-2.5793766,9600,100
336.569736,-2.57940169,9700,100
336.570594,-2.57942677,9800,100
336.571452,-2.57945184,9900,100
336.57231,-2.57947691,10000,100
336.573168,-2.57950198,10100,100
336.574026,-2.57952704,10200,100
336.574884,-2.57955209,10300,100
336.575742,-2.57957714,10400,100
336.5766,-2.57960218,10500,100
336.577458,-2.57962722,10600,100
336.578316,-2.57965225,10700,100
336.579173,-2.57967728,10800,100
336.580031,-2.5797023,10900,100
336.580889,-2.57972731,11000,100
336.581746,-2.57975232,11100,100
336.582604,-2.57977732,11200,100
336.583461,-2.57980232,11300,100
336.584318,-2.57982731,11400,100
336.585176,-2.57985229,11500,100
336.586033,-2.57987727,11600,100
336.58689,-2.57990225,11700,100
336.587747,-2.57992722,11800,100
336.588605,-2.57995218,11900,100
336.589453,-2.57997689,11999,100
336.48623,-2.57783516,0,200
336.487094,-2.5778608,100,200
336.487957,-2.57788643,200,200
336.48882,-2.57791206,300,200
336.489684,-2.57793768,400,200
336.490547,-2.57796329,500,200
336.49141,-2.5779889,600,200
336.492273,-2.57801451,700,200
336.493136,-2.5780401,800,200
336.493999,-2.5780657,900,200
336.494862,-2.57809128,1000,200
336.495725,-2.57811686,1100,200
336.496588,-2.57814244,1200,200
336.497451,-2.57816801,1300,200
336.498314,-2.57819357,1400,200
336.499176,-2.57821913,1500,200
336.500039,-2.57824468,1600,200
336.500902,-2.57827023,1700,200
336.501764,-2.57829577,1800,200
336.502627,-2.5783213,1900,200
336.503489,-2.57834683,2000,200
336.504351,-2.57837235,2100,200
336.505214,-2.57839787,2200,200
336.506076,-2.57842338,2300,200
336.506938,-2.57844889,2400,200
336.5078,-2.57847438,2500,200
336.508662,-2.57849988,2600,200
336.509524,-2.57852537,2700,200
336.510386,-2.57855085,2800,200
336.511248,-2.57857633,2900,200
336.51211,-2.5786018,3000,200
336.512972,-2.57862726,3100,200
336.513834,-2.57865272,3200,200
336.514696,-2.57867818,3300,200
336.515557,-2.57870362,3400,200
336.516419,-2.57872907,3500,200
336.51728,-2.5787545,3600,200
336.518142,-2.57877993,3700,200
336.519003,-2.57880536,3800,200
336.519865,-2.57883078,3900,200
336.520726,-2.57885619,4000,200
336.521587,-2.5788816,4100,200
336.522449,-2.578907,4200,200
336.52331,-2.5789324,4300,200
336.524171,-2.57895779,4400,200
336.525032,-2.57898317,4500,200
336.525893,-2.57900855,4600,200
336.526754,-2.57903392,4700,200
336.527615,-2.57905929,4800,200
336.528476,-2.57908465,4900,200
336.529336,-2.57911001,5000,200
336.530197,-2.57913536,5100,200
336.531058,-2.5791607,5200,200
336.531919,-2.57918604,5300,200
336.532779,-2.57921137,5400,200
336.53364,-2.5792367,5500,200
336.5345,-2.57926202,5600,200
336.535361,-2.57928734,5700,200
336.536221,-2.57931265,5800,200
336.537081,-2.57933795,5900,200
336.537941,-2.57936325,6000,200
336.538802,-2.57938854,6100,200
336.539662,-2.57941383,6200,200
336.540522,-2.57943911,6300,200
336.541382,-2.57946439,6400,200
336.542242,-2.57948966,6500,200
336.543102,-2.57951492,6600,200
336.543962,-2.57954018,6700,200
336.544822,-2.57956543,6800,200
336.545681,-2.57959068,6900,200
336.546541,-2.57961592,7000,200
336.547401,-2.57964116,7100,200
336.54826,-2.57966639,7200,200
