Longitude,Latitude,Pixel,Scan
68.7780735,55.195843,0,0
68.9978735,55.1941618,50,0
69.2175433,55.1920639,100,0
69.4371371,55.1895492,150,0
69.656709,55.1866173,200,0
69.8719207,55.1833385,249,0
68.7759389,55.0601061,0,50
68.995103,55.0584285,50,50
69.2141373,55.0563358,100,50
69.433096,55.0538279,150,50
69.6520332,55.0509044,200,50
69.8666231,55.0476353,249,50
68.7737865,54.9243633,0,100
68.9923203,54.922688,50,100
69.2107247,54.9205991,100,100
69.4290539,54.9180967,150,100
69.6473617,54.9151801,200,100
69.8613349,54.9119193,249,100
68.7716416,54.788597,0,150
68.9895506,54.786923,50,150
69.2073306,54.784837,100,150
69.4250355,54.782339,150,150
69.6427194,54.7794284,200,150
69.8560812,54.7761749,249,150
68.7696241,54.6528966,0,200
68.9869131,54.6512272,50,200
69.2040736,54.6491473,100,200
69.4211598,54.6466569,150,200
69.6382255,54.6437555,200,200
69.850982,54.6405126,249,200
68.7674706,54.5171529,0,250
68.9841456,54.5154837,50,250
69.2006925,54.5134055,100,250
69.4171652,54.5109184,150,250
69.6336174,54.5080218,200,250
69.8457726,54.5047851,249,250
68.76543,54.3814508,0,300
68.9814957,54.3797852,50,300
69.1974339,54.3777122,100,300
69.4132984,54.3752316,150,300
69.6291428,54.3723432,200,300
69.8407027,54.3691158,249,300
68.7634188,54.24578,0,350
68.9788803,54.2441185,50,350
69.194215,54.2420511,100,350
69.4094764,54.2395777,150,350
69.6247183,54.2366979,200,350
69.8356881,54.2334805,249,350
68.761159,54.1100585,0,400
68.9760232,54.1083974,50,400
69.1907603,54.106332,100,400
69.4054238,54.103862,150,400
69.6200673,54.1009872,200,400
69.8304501,54.0977761,249,400
68.7589651,53.9743437,0,450
68.9732367,53.9726827,50,450
69.187381,53.9706187,100,450
69.4014516,53.9681518,150,450
69.615502,53.9652814,200,450
69.8253033,53.9620763,249,450
68.7570738,53.8387112,0,500
68.9707558,53.8370549,50,500
69.1843115,53.8349972,100,500
69.3977944,53.832538,150,500
69.6112577,53.8296769,200,500
69.8204842,53.8264822,249,500
68.7551151,53.7030287,0,550
68.9682132,53.7013758,50,550
69.1811855,53.6993231,100,550
69.3940854,53.6968703,150,550
69.6069664,53.6940171,200,550
69.8156226,53.6908316,249,550
68.7530723,53.5672968,0,600
68.9655918,53.565644,50,600
69.1779859,53.5635927,100,600
69.3903078,53.5611429,150,600
69.6026109,53.5582941,200,600
69.8107009,53.5551144,249,600
68.7511621,53.4316597,0,650
68.9631072,53.4300107,50,650
69.1749275,53.4279648,100,650
69.3866764,53.4255217,150,650
69.5984069,53.4226811,200,650
69.8059362,53.4195109,249,650
68.749176,53.2960086,0,700
68.960552,53.2943618,50,700
69.1718036,53.2923194,100,700
69.3829842,53.2898814,150,700
69.5941466,53.2870474,200,700
69.8011193,53.2838849,249,700
68.7472741,53.1604554,0,750
68.9580852,53.1588095,50,750
69.1687726,53.1567695,100,750
69.3793894,53.1543353,150,750
69.5899887,53.1515065,200,750
69.7964099,53.1483506,249,750
68.7453127,53.0248806,0,800
68.9555641,53.0232362,50,800
69.1656922,53.0211992,100,800
69.3757501,53.0187695,150,800
69.5857906,53.0159466,200,800
69.7916645,53.0127978,249,800
68.7434043,52.8892675,0,850
68.9531005,52.8876274,50,850
69.162674,52.8855961,100,850
69.3721776,52.8831736,150,850
69.5816643,52.8803593,200,850
69.7869957,52.8772203,249,850
68.7413734,52.7535258,0,900
68.9505197,52.7518839,50,900
69.1595434,52.7498522,100,900
69.3684974,52.7474307,150,900
69.5774343,52.7446188,200,900
69.7822269,52.7414836,249,900
68.7394557,52.6178931,0,950
68.948056,52.6162536,50,950
69.1565343,52.6142257,100,950
69.3649431,52.6118093,150,950
69.5733353,52.6090041,200,950
69.7775941,52.6058767,249,950
68.737486,52.4822481,0,1000
68.9455454,52.4806102,50,1000
69.1534829,52.4785853,100,1000
69.3613511,52.4761733,150,1000
69.5692027,52.4733739,200,1000
69.7729318,52.4702536,249,1000
68.7355822,52.3466442,0,1050
68.9431046,52.3450086,50,1050
69.1505056,52.3429875,100,1050
69.3578376,52.3405808,150,1050
69.5651533,52.3377879,200,1050
69.7683574,52.3346754,249,1050
68.7336979,52.2110493,0,1100
68.9406878,52.2094168,50,1100
69.1475566,52.2074001,100,1100
69.3543569,52.2049991,150,1100
69.5611411,52.2022135,200,1100
69.7638245,52.1991094,249,1100
68.7318157,52.0755005,0,1150
68.9382773,52.0738709,50,1150
69.1446184,52.0718585,100,1150
69.3508912,52.0694632,150,1150
69.5571482,52.0666846,200,1150
69.7593152,52.0635888,249,1150
68.7299347,51.9399124,0,1200
68.9358725,51.938285,50,1200
69.1416901,51.9362762,100,1200
69.3474398,51.9338859,150,1200
69.5531739,51.9311136,200,1200
69.7548286,51.9280254,249,1200
68.7280138,51.8042644,0,1250
68.9334325,51.8026373,50,1250
69.138731,51.8006301,100,1250
69.3439619,51.7982429,150,1250
69.5491772,51.795475,200,1250
69.7503234,51.7923924,249,1250
68.7261842,51.6687045,0,1300
68.9310872,51.6670804,50,1300
69.1358707,51.6650776,100,1300
69.3405869,51.662696,150,1300
69.5452879,51.6599352,200,1300
69.7459303,51.6568608,249,1300
68.7242872,51.533113,0,1350
68.9286794,51.5314893,50,1350
69.1329523,51.5294881,100,1350
69.3371579,51.5271096,150,1350
69.5413485,51.5243532,200,1350
69.7414907,51.5212845,249,1350
68.7224801,51.3975697,0,1400
68.9263649,51.3959481,50,1400
69.130131,51.3939507,100,1400
69.3338302,51.3915771,150,1400
69.5375147,51.388827,200,1400
69.7371613,51.3857658,249,1400
68.7206474,51.2620338,0,1450
68.9240293,51.2604147,50,1450
69.1272928,51.2584209,100,1450
69.3304897,51.2560525,150,1450
69.5336722,51.2533088,200,1450
69.7328268,51.2502552,249,1450
68.7187647,51.1264375,0,1500
68.921648,51.1248174,50,1500
69.1244131,51.1228239,100,1500
69.3271118,51.1204571,150,1500
69.5297959,51.1177164,200,1500
69.7284623,51.114667,249,1500
68.7169646,50.9909457,0,1550
68.9193529,50.9893298,50,1550
69.1216234,50.987342,100,1550
69.3238279,50.9849821,150,1550
69.5260181,50.9822496,200,1550
69.7242005,50.9792096,249,1550
68.7151543,50.8554137,0,1600
68.9170517,50.8537988,50,1600
69.1188316,50.8518132,100,1600
69.3205457,50.8494569,150,1600
69.5222458,50.8467294,200,1600
69.7199481,50.8436955,249,1600
68.7133823,50.719911,0,1650
68.9147925,50.718299,50,1650
69.1160857,50.7163176,100,1650
69.3173134,50.7139668,150,1650
69.5185274,50.7112461,200,1650
69.7157535,50.7082201,249,1650
68.7115207,50.584327,0,1700
68.9124482,50.5827139,50,1700
69.1132588,50.5807329,100,1700
69.314004,50.5783837,150,1700
69.5147354,50.5756659,200,1700
69.7114886,50.5726441,249,1700
68.7097332,50.4488322,0,1750
68.9101814,50.447221,50,1750
69.1105131,50.4452431,100,1750
69.3107796,50.4428984,150,1750
69.5110326,50.4401865,200,1750
69.7073169,50.4371716,249,1750
68.7079553,50.3133321,0,1800
68.9079281,50.3117228,50,1800
69.1077846,50.309748,100,1800
69.3075763,50.3074078,150,1800
69.5073546,50.3047016,200,1800
69.7031739,50.3016936,249,1800
68.7062116,50.1778331,0,1850
68.9057125,50.1762265,50,1850
69.1050975,50.1742557,100,1850
69.3044181,50.1719207,150,1850
69.5037256,50.169221,200,1850
69.6990837,50.1662207,249,1850
68.7044707,50.0423642,0,1900
68.9035035,50.0407589,50,1900
69.1024208,50.0387906,100,1900
69.3012739,50.0364595,150,1900
69.5001143,50.033765,200,1900
69.6950147,50.030771,249,1900
68.7027279,49.9068806,0,1950
68.9012963,49.9052761,50,1950
69.0997496,49.9033101,100,1950
69.298139,49.9009824,150,1950
69.4965158,49.8982927,200,1950
69.6909622,49.8953046,249,1950
68.701023,49.77142,0,2000
68.8991306,49.7698184,50,2000
69.0971234,49.7678566,100,2000
69.2950528,49.7655344,150,2000
69.4929699,49.7628514,200,2000
69.686966,49.7598711,249,2000
68.6992091,49.6358869,0,2050
68.8968601,49.6342843,50,2050
69.0943965,49.6323226,100,2050
69.2918694,49.6300019,150,2050
69.48933,49.6273216,200,2050
69.6828786,49.6243452,249,2050
68.6975025,49.5004652,0,2100
68.8946999,49.4988642,50,2100
69.0917831,49.4969055,100,2100
69.2888031,49.4945889,150,2100
69.485811,49.491914,200,2100
69.6789161,49.4889442,249,2100
68.6958044,49.3650384,0,2150
68.8925518,49.3634398,50,2150
69.0891853,49.3614846,100,2150
69.2857559,49.3591728,150,2150
69.4823147,49.356504,200,2150
69.67498,49.3535413,249,2150
68.6940316,49.2295327,0,2200
68.8903329,49.2279337,50,2200
69.0865205,49.2259793,100,2200
69.2826454,49.2236697,150,2200
69.4787584,49.2210042,200,2200
69.6709866,49.218046,249,2200
68.6923505,49.0941113,0,2250
68.8882088,49.0925156,50,2250
69.0839537,49.090566,100,2250
69.2796363,49.0882623,150,2250
69.4753072,49.085604,200,2250
69.6671024,49.0826541,249,2250
